Layer,TopK_Count
word_embed,179
blocks.0.ffn.fc1,333
blocks.0.ffn.fc2,304
blocks.0.attn.proj,274
blocks.0.ada_lin.1,31
blocks.1.ffn.fc1,478
blocks.1.ffn.fc2,324
blocks.1.attn.proj,315
blocks.1.ada_lin.1,33
blocks.2.ffn.fc1,393
blocks.2.ffn.fc2,377
blocks.2.attn.proj,355
blocks.2.ada_lin.1,30
blocks.3.ffn.fc1,300
blocks.3.ffn.fc2,375
blocks.3.attn.proj,330
blocks.3.ada_lin.1,26
blocks.4.ffn.fc1,294
blocks.4.ffn.fc2,365
blocks.4.attn.proj,331
blocks.4.ada_lin.1,40
blocks.5.ffn.fc1,288
blocks.5.ffn.fc2,381
blocks.5.attn.proj,312
blocks.5.ada_lin.1,45
blocks.6.ffn.fc1,230
blocks.6.ffn.fc2,346
blocks.6.attn.proj,335
blocks.6.ada_lin.1,44
blocks.7.ffn.fc1,342
blocks.7.ffn.fc2,333
blocks.7.attn.proj,306
blocks.7.ada_lin.1,31
blocks.8.ffn.fc1,256
blocks.8.ffn.fc2,323
blocks.8.attn.proj,305
blocks.8.ada_lin.1,28
blocks.9.ffn.fc1,253
blocks.9.ffn.fc2,325
blocks.9.attn.proj,305
blocks.9.ada_lin.1,24
blocks.10.ffn.fc1,273
blocks.10.ffn.fc2,342
blocks.10.attn.proj,345
blocks.10.ada_lin.1,25
blocks.11.ffn.fc1,223
blocks.11.ffn.fc2,280
blocks.11.attn.proj,313
blocks.11.ada_lin.1,7
blocks.12.ffn.fc1,221
blocks.12.ffn.fc2,241
blocks.12.attn.proj,239
blocks.12.ada_lin.1,14
blocks.13.ffn.fc1,213
blocks.13.ffn.fc2,249
blocks.13.attn.proj,233
blocks.13.ada_lin.1,15
blocks.14.ffn.fc1,424
blocks.14.ffn.fc2,412
blocks.14.attn.proj,263
blocks.14.ada_lin.1,18
blocks.15.ffn.fc1,1836
blocks.15.ffn.fc2,635
blocks.15.attn.proj,318
blocks.15.ada_lin.1,34
head_nm.ada_lin.1,11
